name,category,brand,current_price,cost,discount_percent,rating,review_count,views,add_to_cart,sales_volume,stock_level,conversion_rate,margin_percent,season,platform_price,currency,estimated_orders,trend_score,seller_feedback_score,seller_feedback_percent,source
Camera Auto DashCam VisionDrive 4K,Auto,VisionDrive,329.99,185.0,8,4.8,1280,18400,3450,920,75,5.0,34,tot anul,319.99,USD,2100,94,12600,99.1,csv_dashboard_test
Mini Proiector Portabil LumiCast P7,Electronice,LumiCast,449.99,295.0,12,4.5,860,15600,2200,610,42,3.9,28,iarna,429.99,USD,1450,88,9800,98.7,csv_dashboard_test
Aspirator Robot CleanBot M30,Casa inteligenta,CleanBot,699.99,510.0,5,4.6,740,11200,1350,410,28,3.7,22,tot anul,679.99,USD,980,83,7450,98.4,csv_dashboard_test
Inel Smart HealthRing Neo,Wearables,NeoHealth,249.99,118.0,15,4.7,530,19800,4100,1250,96,6.3,41,tot anul,239.99,USD,2600,96,15300,99.4,csv_dashboard_test
Lampa LED Smart AuraGlow RGB,Casa inteligenta,AuraGlow,89.99,34.0,10,4.4,420,9400,1800,780,160,8.3,45,tot anul,84.99,USD,1900,81,6200,97.9,csv_dashboard_test
Casti Gaming HyperSound X5,Gaming,HyperSound,159.99,92.0,7,4.2,310,7200,820,260,34,3.6,29,iarna,149.99,USD,650,69,4300,96.8,csv_dashboard_test
Periuta Electrica SonicSmile Pro,Sanatate si ingrijire,SonicSmile,119.99,48.0,18,4.6,910,13700,2600,980,110,7.2,43,tot anul,109.99,USD,2200,89,11200,99.0,csv_dashboard_test
Rucsac Antifurt UrbanShield USB,Fashion si accesorii,UrbanShield,74.99,39.0,6,4.1,190,5100,600,180,55,3.5,25,toamna,69.99,USD,430,58,2800,95.6,csv_dashboard_test
Baterie Externa PowerMax 30000mAh,Electronice,PowerMax,129.99,62.0,9,4.9,1650,22400,5200,1680,140,7.5,39,tot anul,119.99,USD,3400,97,18400,99.6,csv_dashboard_test
Umidificator Smart AirCare H2,Casa inteligenta,AirCare,139.99,86.0,4,4.3,260,4800,520,150,18,3.1,23,iarna,134.99,USD,360,61,3100,96.2,csv_dashboard_test
