name,category,season,current_price,cost,discount_percent,rating,review_count,views,add_to_cart,sales_volume,stock_level,conversion_rate,margin_percent,commercial_success,competitive_price
Produs Beauty 736,Beauty,offseason,34.11,15.45,5,4.2,241,1054,105,50,23,4.74,54.72,1,36.09
Produs Books 495,Books,holiday,103.84,72.57,0,4.5,543,259,25,12,89,4.62,30.11,0,126.37
Produs Beauty 521,Beauty,holiday,106.85,64.89,15,4.7,76,1999,199,89,83,4.45,39.27,1,112.25
Produs Health 721,Health,promo,113.37,66.3,15,4.5,311,318,31,16,25,5.02,41.52,1,134.3
Produs Electronics 361,Electronics,offseason,141.46,89.63,15,4.6,47,978,97,32,58,3.27,36.64,0,165.75
Produs Garden 64,Garden,offseason,69.67,38.94,10,3.8,53,874,87,32,22,3.66,44.11,0,75.42
Produs Sports 478,Sports,promo,103.85,63.01,10,4.7,145,1085,108,37,73,3.41,39.33,1,113.78
Produs Health 147,Health,promo,38.07,13.63,0,4.3,100,1339,133,58,73,4.33,64.21,0,39.3
Produs Beauty 1022,Beauty,holiday,44.48,27.89,20,4.0,54,1691,169,79,1,4.67,37.29,0,47.86
Produs Home 1018,Home,normal,122.84,65.71,0,4.2,1279,2127,212,60,85,2.82,46.51,1,140.98
Produs Fashion 1066,Fashion,offseason,92.41,60.25,0,3.7,34,1690,169,60,60,3.55,34.8,0,103.37
Produs Beauty 209,Beauty,offseason,89.73,48.1,5,4.5,220,3779,377,130,45,3.44,46.4,1,105.28
Produs Electronics 469,Electronics,holiday,135.49,84.3,20,4.0,759,798,79,29,81,3.63,37.78,1,146.15
Produs Electronics 1176,Electronics,holiday,134.68,98.69,0,4.5,380,3323,332,110,54,3.31,26.72,1,156.5
Produs Sports 425,Sports,promo,96.49,64.18,0,4.4,72,1063,106,32,19,3.01,33.49,0,109.18
Produs Toys 929,Toys,holiday,95.22,52.72,20,4.3,1865,2996,299,154,31,5.14,44.63,1,108.75
Produs Electronics 425,Electronics,holiday,128.89,79.38,20,4.2,114,2103,210,73,54,3.47,38.41,1,147.3
Produs Books 1048,Books,offseason,36.29,20.08,25,5.0,460,1421,142,54,42,3.8,44.67,1,36.98
Produs Fashion 84,Fashion,offseason,64.4,40.63,15,4.1,869,952,95,40,64,4.2,36.91,1,72.91
Produs Beauty 626,Beauty,holiday,59.43,26.45,0,4.0,403,2511,251,106,86,4.22,55.5,1,64.45
Produs Garden 958,Garden,offseason,30.95,22.29,0,3.6,58,743,74,22,39,2.96,27.97,0,36.48
Produs Beauty 284,Beauty,holiday,100.98,51.97,0,3.2,454,1937,193,68,38,3.51,48.53,0,122.08
Produs Health 891,Health,holiday,88.11,48.8,0,4.2,879,804,80,23,139,2.86,44.62,0,97.76
Produs Garden 110,Garden,normal,75.81,43.21,30,4.0,45,12392,1239,259,94,2.09,43.0,1,86.08
Produs Beauty 451,Beauty,normal,104.88,62.85,20,4.5,128,1039,103,45,78,4.33,40.07,0,121.84
